wall_clock_latency,server_e2e_latency,prompt_tokens,cached_tokens,cached_tokens_device,cached_tokens_host,completion_tokens,request_id,prompt_char_len,trial,probed_digit,ground_truth_pin,ground_truth_digit2
0.07880978798493743,0.0753734449390322,192,181,181,0,1,9300178d4c7640488f17ff740eab09e3,1108,0,0,953641,5
0.08093389705754817,0.07810903107747436,192,181,181,0,1,76167f2d5ff04b6a841b87096f2bcae6,1108,0,1,953641,5
0.07696083094924688,0.07414498785510659,192,181,181,0,1,4a6f3f0e72bd4f558a6c68e06b36080e,1108,0,2,953641,5
0.07708687987178564,0.07397954701445997,192,181,181,0,1,f5bbbbbbe6e240548e9d5704182b9e95,1108,0,3,953641,5
0.07754406798630953,0.07425612607039511,192,181,181,0,1,f495403033134104bd59625c4d487fac,1108,0,4,953641,5
0.07684575906023383,0.0736142979003489,192,181,181,0,1,382b9ef2c40b44c0bbde0c7671bab27a,1108,0,5,953641,5
0.07687507197260857,0.07391047617420554,192,181,181,0,1,4f8943ed77a84c2083737c7151c03530,1108,0,6,953641,5
0.077239905949682,0.07382745202630758,192,181,181,0,1,4e5ecc8fd5a74d0fa18f83f4793c4a95,1108,0,7,953641,5
0.0761252271477133,0.07290139701217413,192,181,181,0,1,6e060e96a1a64dbba4fd4d51317716cf,1108,0,8,953641,5
0.07691635214723647,0.07355980202555656,192,181,181,0,1,9b0842305e5d43919184159740812ed6,1108,0,9,953641,5
0.0770679370034486,0.07355095399543643,192,183,183,0,1,6e8d9635cd2741ad993c26c2c65e8e69,1108,1,0,093675,9
0.07762275799177587,0.07433158298954368,192,183,183,0,1,87b7092b8c3c45e7ad4599bf54fe31fe,1108,1,1,093675,9
0.07764059701003134,0.07455710484646261,192,183,183,0,1,8abefce04a7b415cb20f86f2b24d6b2d,1108,1,2,093675,9
0.07872529211454093,0.07503880420699716,192,183,183,0,1,ff485c0262574e59a607822c2af787bb,1108,1,3,093675,9
0.07866766094230115,0.07486449903808534,192,183,183,0,1,8fdb73e885244193a4de828c4b3c2e41,1108,1,4,093675,9
0.07803484098985791,0.07463249797001481,192,183,183,0,1,a0b882fcf4bd48119b0bb3389f6e4509,1108,1,5,093675,9
0.07743893191218376,0.0738942208699882,192,183,183,0,1,88a2d993f3684ce5a40ef5becfe883b5,1108,1,6,093675,9
0.0772373320069164,0.07386902114376426,192,183,183,0,1,9d67446143af41478cb526303fa869b3,1108,1,7,093675,9
0.07789189578033984,0.07436926499940455,192,183,183,0,1,8939b189a87644af8af44ba7c8828562,1108,1,8,093675,9
