wall_clock_latency,server_e2e_latency,prompt_tokens,cached_tokens,cached_tokens_device,cached_tokens_host,completion_tokens,request_id,prompt_char_len,condition,gap_seconds,trial
0.3035692928824574,0.2609831851441413,188,0,,,1,ca162f445a7c4cf5b116db1cce70d260,1140,A_no_victim,0,0
0.10272380313836038,0.09861935582011938,188,0,,,1,469f23c1e58340949eb2078ecbcc2845,1140,A_no_victim,0,1
0.10278263501822948,0.09874366084113717,188,0,,,1,d0077f7ce5d749f7bb3b4126ae8c1b74,1140,A_no_victim,0,2
0.09710708889178932,0.0933208679780364,188,0,,,1,228920ace296403794530133ed3bf2e7,1140,A_no_victim,0,3
0.10613421094603837,0.09226670092903078,188,0,,,1,3eb29b6cae734f1f91307d0eb90f1ddf,1140,A_no_victim,0,4
0.10358262388035655,0.10050408891402185,188,0,,,1,767b20e821ed4f1983f8778524c99427,1140,A_no_victim,0,5
0.10989668709225953,0.10658557410351932,188,0,,,1,5dc23efb3faa423eaaf1164cc6901c3c,1140,A_no_victim,0,6
0.10687685594893992,0.10359422396868467,188,0,,,1,0a0563f31f484681bfb9b06e763d4d33,1140,A_no_victim,0,7
0.10407344298437238,0.10149641591124237,188,0,,,1,2109447a7c924c8297c1c72075168f6b,1140,A_no_victim,0,8
0.10472450382076204,0.100805674912408,188,0,,,1,9b0c40f40c874e659c45fae1076b4701,1140,A_no_victim,0,9
0.16408468806184828,0.15939631685614586,188,181,181,0,1,c82936a9076d4d2a951f4383f9f005f9,1140,B_after_victim,0,0
0.14440086111426353,0.13954519294202328,188,181,181,0,1,05a61abe34444aeca34bbab6a4d650cb,1140,B_after_victim,0,1
0.1402069421019405,0.13591716601513326,188,181,181,0,1,1990d984bba6420b9aae3460ef39c24e,1140,B_after_victim,0,2
0.14251412614248693,0.13800935796462,188,181,181,0,1,134b6957e26441da9d61807924bb31cd,1140,B_after_victim,0,3
0.14312886609695852,0.13894926803186536,188,181,181,0,1,307c38670282497a8cf0f12da659da52,1140,B_after_victim,0,4
0.14115931605920196,0.1365773780271411,188,181,181,0,1,f913ad9608274320a3a756428fc45712,1140,B_after_victim,0,5
0.14071044814772904,0.1364268329925835,188,181,181,0,1,e3360b7f346a4c789bbde0c7007efaa8,1140,B_after_victim,0,6
0.14308825810439885,0.1385644320398569,188,181,181,0,1,959addd4e2a946efb9d1fdc289696249,1140,B_after_victim,0,7
0.14111209916882217,0.13685840391553938,188,181,181,0,1,01346d472b54463da7ed19726c10fc17,1140,B_after_victim,0,8
0.1445063790306449,0.14007861888967454,188,181,181,0,1,68f37b37f4ce4f6c82c22b751f8c532c,1140,B_after_victim,0,9
0.10395622299984097,0.10072843916714191,188,0,,,1,583f435e07984de09c77d38519ba0259,1140,A_no_victim,1,0
0.10330047411844134,0.09206797508522868,188,0,,,1,39730a8c343c499f841acaff0020db4a,1140,A_no_victim,1,1
0.10434139403514564,0.10108549799770117,188,0,,,1,87e23039c8d84686a71a7972a99265cf,1140,A_no_victim,1,2
0.10678689810447395,0.10348626598715782,188,0,,,1,6d092b89d5dd45348b237516b6ac562c,1140,A_no_victim,1,3
0.09445835906080902,0.09120569517835975,188,0,,,1,5191271520744ae480c8727ac6c7c492,1140,A_no_victim,1,4
0.10364817106164992,0.10046619502827525,188,0,,,1,05cf44a239c1475f8853ffb29886c8e6,1140,A_no_victim,1,5
0.1054657669737935,0.1021253748331219,188,0,,,1,ffdacd26e4434754b62e68467ae1810d,1140,A_no_victim,1,6
0.10526989283971488,0.10237144003622234,188,0,,,1,9bc6ba15dd4f470e8207b808aa50839e,1140,A_no_victim,1,7
0.0946458310354501,0.09157476807013154,188,0,,,1,14ed9ad087764af3ac989e6f6628f99a,1140,A_no_victim,1,8
0.10635649180039763,0.10337491799145937,188,0,,,1,cc8112cbf22c417b8627e23d5e257f6f,1140,A_no_victim,1,9
0.08800754207186401,0.08448839583434165,188,181,181,0,1,68819332d45440ce847ca0984ece9aa5,1140,B_after_victim,1,0
0.08763947384431958,0.07472090004011989,188,181,181,0,1,046839af59904c048512373922cbbb8e,1140,B_after_victim,1,1
0.08768097800202668,0.08434581710025668,188,181,181,0,1,fb366c766c394661b4eef03ba766c959,1140,B_after_victim,1,2
0.07867158390581608,0.07539192796684802,188,181,181,0,1,eaec56428c9146b18d73751c391d005f,1140,B_after_victim,1,3
0.07698248280212283,0.0740064769051969,188,181,181,0,1,c734c00f40974e809fb4158df4af7ba4,1140,B_after_victim,1,4
0.08849995885975659,0.08529100706800818,188,181,181,0,1,f51ee0f919d8432aab394da71c56edd3,1140,B_after_victim,1,5
0.07633247785270214,0.07328453497029841,188,181,181,0,1,368cce1d21b144b28754e08d4968e988,1140,B_after_victim,1,6
0.0769722901750356,0.0738150030374527,188,181,181,0,1,31384509ec244de5bce25e6d328183bf,1140,B_after_victim,1,7
0.08812718698754907,0.08485447498969734,188,181,181,0,1,75e440ce2b76456581da7a7c29910fec,1140,B_after_victim,1,8
0.07870724610984325,0.07542319013737142,188,181,181,0,1,2b2c21a8dddd42d3864635f05b17d701,1140,B_after_victim,1,9
0.09704473800957203,0.09304272499866784,188,0,,,1,b9e8e83359564747abdddbb555154089,1140,A_no_victim,3,0
0.10691141709685326,0.10250787995755672,188,0,,,1,ec491e635293466db59843afeadb32cb,1140,A_no_victim,3,1
0.09554962115362287,0.09153311210684478,188,0,,,1,2bc25d5c57594d35b91d9f076b88bb98,1140,A_no_victim,3,2
0.09416167414747179,0.09093609778210521,188,0,,,1,02c6975d3e584efd8c143f67771f13bf,1140,A_no_victim,3,3
0.10373107087798417,0.10049307905137539,188,0,,,1,f2bf2b4d84814c749719754429b7b3fb,1140,A_no_victim,3,4
0.09400231088511646,0.09082239982672036,188,0,,,1,9a1f55d77ccb405b98f61e597a1df67b,1140,A_no_victim,3,5
0.10562351415865123,0.10227712197229266,188,0,,,1,1569c3c5da464afba230c1a17abe8128,1140,A_no_victim,3,6
0.09584478591568768,0.09242807305417955,188,0,,,1,bfe6de066f684ddeb460a0feb6ea69c1,1140,A_no_victim,3,7
0.10036136186681688,0.09722604299895465,188,0,,,1,0e7fa89dde424427962ab807c74d41af,1140,A_no_victim,3,8
0.09904479095712304,0.09560611099004745,188,0,,,1,ed0c9e1342be478d9f210c932bd5db9d,1140,A_no_victim,3,9
0.07714344887062907,0.07372758397832513,188,181,181,0,1,06c75ab6e1e14aaeb5d236da2935801c,1140,B_after_victim,3,0
0.07796641392633319,0.07479431200772524,188,181,181,0,1,0150bb2831804c1894e7c92866eb139f,1140,B_after_victim,3,1
0.07773479516617954,0.0742709469050169,188,181,181,0,1,efecea97ed5242b6aa8c2898feb404c2,1140,B_after_victim,3,2
0.08721974305808544,0.07438761903904378,188,181,181,0,1,c013e176c04349e5b6ec7287a15425a5,1140,B_after_victim,3,3
0.07664864207617939,0.07344887591898441,188,181,181,0,1,e830363120084020a35f11d3762e0308,1140,B_after_victim,3,4
0.08896220196038485,0.08567014592699707,188,181,181,0,1,d23e515057774150af25913e6b19eaf8,1140,B_after_victim,3,5
0.08657720685005188,0.08336044801399112,188,181,181,0,1,7b4780582a15467cbb197ca5d45ed5be,1140,B_after_victim,3,6
0.08703391416929662,0.08388329902663827,188,181,181,0,1,82806741dc9742938420bdabd458fb0a,1140,B_after_victim,3,7
0.08015863294713199,0.07701867399737239,188,181,181,0,1,ecf77ed004d7498683bf67ac221672ab,1140,B_after_victim,3,8
0.07641132501885295,0.0731135739479214,188,181,181,0,1,79040240a50b4322a2b5ba973af4bab0,1140,B_after_victim,3,9
0.094601676100865,0.09115654812194407,188,0,,,1,3ad7b5ec87124a8cb5341cc9b91a6f66,1140,A_no_victim,5,0
0.09365920396521688,0.0903767968993634,188,0,,,1,bba57eee283e458aab37a8f04813c320,1140,A_no_victim,5,1
0.09530247910879552,0.09167885314673185,188,0,,,1,f584c81bbf4b495796635e3de5f585b9,1140,A_no_victim,5,2
0.0963645800948143,0.09260676195845008,188,0,,,1,3f1634c9649e47e692797da6802fe262,1140,A_no_victim,5,3
0.09463672689162195,0.09106622193939984,188,0,,,1,0fba0d87828a45908cb70cf65a6bd348,1140,A_no_victim,5,4
0.10346021107397974,0.09985378687269986,188,0,,,1,dc13dada8c1344d6b6e298fc505ce5f5,1140,A_no_victim,5,5
0.10339693003334105,0.09986519301310182,188,0,,,1,5b2967b082bb4f2caa8142a33883ee70,1140,A_no_victim,5,6
0.1038346269633621,0.10040141898207366,188,0,,,1,544dddfc56784248a5ed75c8e2542589,1140,A_no_victim,5,7
0.09398801298812032,0.09096250380389392,188,0,,,1,38214609a26e413c9e2f44e513b97c2e,1140,A_no_victim,5,8
0.09544659801758826,0.09217755100689828,188,0,,,1,80f94ba347c64cac91347e10105fc477,1140,A_no_victim,5,9
0.07784665003418922,0.0746811090502888,188,181,181,0,1,4aa25d69134f4c108587421cac324115,1140,B_after_victim,5,0
0.0774399428628385,0.07420307211577892,188,181,181,0,1,d6a1ae6994c1436bb0bc2edbc6dd87e6,1140,B_after_victim,5,1
0.07915776106528938,0.07468550698831677,188,181,181,0,1,31752250d7da4333a71376f2bc0a4738,1140,B_after_victim,5,2
0.08146263984963298,0.07672064006328583,188,181,181,0,1,8360327018474fefb4525a90d4e38653,1140,B_after_victim,5,3
0.08728104713372886,0.08374455897137523,188,181,181,0,1,424bf7b2dc304e99be1b273f30b25f9f,1140,B_after_victim,5,4
0.07819847203791142,0.07347338297404349,188,181,181,0,1,9d07838aea3c4b3ca84cdc404cb97876,1140,B_after_victim,5,5
0.07713913591578603,0.07396231405436993,188,181,181,0,1,4d68b25d5344419f913daf364d7c66b3,1140,B_after_victim,5,6
0.08958419505506754,0.08633937290869653,188,181,181,0,1,b4dbf87ce2704130be5a7b369aa3f970,1140,B_after_victim,5,7
