wall_clock_latency,server_e2e_latency,prompt_tokens,cached_tokens,cached_tokens_device,cached_tokens_host,completion_tokens,request_id,prompt_char_len,trial,position,known_prefix_so_far,guess_digit,ground_truth_pin,ground_truth_digit_this_position
0.07928080693818629,0.0756242610514164,193,183,183,0,1,f28f863ec5cc45bf953bde0973cd100e,1109,0,1,,0,042457,0
0.07750223088078201,0.07419949606992304,193,181,181,0,1,640c241bf5b045199f4defbbe7091834,1109,0,1,,1,042457,0
0.07701723393984139,0.07412221585400403,193,181,181,0,1,493483dfd9b04fd09a21b3ad3182d0b2,1109,0,1,,2,042457,0
0.0789634920656681,0.07595562422648072,193,181,181,0,1,4b6c85386cdf46ca8b436cc2be3753e9,1109,0,1,,3,042457,0
0.07663683011196554,0.07347025722265244,193,181,181,0,1,b9407cf478a54ec384a2404e925706a1,1109,0,1,,4,042457,0
0.0764921570662409,0.07330296002328396,193,181,181,0,1,d8ce3b9fc7e5478abd14a8927cdedb07,1109,0,1,,5,042457,0
0.07713000290095806,0.07357412995770574,193,181,181,0,1,63ae868276ac43168329af209dd20589,1109,0,1,,6,042457,0
0.07738248608075082,0.07391262915916741,193,181,181,0,1,497632e4d92441a8aeef445e13ad65bc,1109,0,1,,7,042457,0
0.07756301504559815,0.07418786291964352,193,181,181,0,1,55296218b1be4d22b45b00579e642886,1109,0,1,,8,042457,0
0.07804857101291418,0.07473602797836065,193,181,181,0,1,b52b3d3b6e20423bb25514caf547e69b,1109,0,1,,9,042457,0
0.07737830909900367,0.0740698620211333,193,183,183,0,1,e28ad2815b834719bee09ac4da1dd660,1109,0,2,0,0,042457,4
0.07760701514780521,0.07461074693128467,193,183,183,0,1,7e51d96a9d144d9e9f9c78f89d9d82d2,1109,0,2,0,1,042457,4
0.07760786288417876,0.07453453890047967,193,183,183,0,1,e49bb9b651ca4919bfdde9770cd5d93a,1109,0,2,0,2,042457,4
0.07623940287157893,0.07320252596400678,193,183,183,0,1,94fad6eb2d6240d0a623492e0bd665d7,1109,0,2,0,3,042457,4
0.08340190001763403,0.07296412414871156,193,185,185,0,1,635848dadd3e4894b2740390f55d388a,1109,0,2,0,4,042457,4
0.0772623720113188,0.07411127095110714,193,183,183,0,1,cbd979100db8420e886dfc95894b53f3,1109,0,2,0,5,042457,4
0.07704765000380576,0.07402074290439487,193,183,183,0,1,24620af84bd74fb488d834a95e0697a5,1109,0,2,0,6,042457,4
0.07657620497047901,0.07341294479556382,193,183,183,0,1,7293544b180348c0a79199113ca1998c,1109,0,2,0,7,042457,4
0.08403965015895665,0.07334161596372724,193,183,183,0,1,a23e83dc6c034134a636e0fd2093c0b1,1109,0,2,0,8,042457,4
0.08466976811178029,0.07712368294596672,193,183,183,0,1,8495094bcd7846ddb3d723c885a1156c,1109,0,2,0,9,042457,4
0.07630153093487024,0.0732731360476464,193,185,185,0,1,e01365f7275542eeabe2405e63f4a8dd,1109,0,3,04,0,042457,2
0.07601138507016003,0.07286622002720833,193,185,185,0,1,90435ce686c84dc8b1890073991fda3f,1109,0,3,04,1,042457,2
0.07595290406607091,0.0728103790897876,193,187,187,0,1,37d784988b9e41d39c92e16f5cdb8345,1109,0,3,04,2,042457,2
0.07699377788230777,0.07382558914832771,193,185,185,0,1,6ab1616cfd5147e9a848e03cc5f97d9b,1109,0,3,04,3,042457,2
0.0768583680037409,0.07379534794017673,193,185,185,0,1,7381aca92aad4b33a3cc8c4c042d2a56,1109,0,3,04,4,042457,2
0.07817582110874355,0.07504222402349114,193,185,185,0,1,31007510f5664f109edb4a39d8b502de,1109,0,3,04,5,042457,2
0.0760885369963944,0.07307166093960404,193,185,185,0,1,83a815f34bb5478b862517c3e8ef9e2d,1109,0,3,04,6,042457,2
0.0765044610016048,0.0736020349431783,193,185,185,0,1,d12904bc1c7d43b29b10f6a6f7a26fe2,1109,0,3,04,7,042457,2
0.07585951103828847,0.0729289879091084,193,185,185,0,1,0869f513c7264aa087dd418b6a7c3881,1109,0,3,04,8,042457,2
0.07667422294616699,0.07364293094724417,193,185,185,0,1,c5c678476e3d4b689e954c1b0568c5a9,1109,0,3,04,9,042457,2
0.07689315197058022,0.07403109408915043,193,187,187,0,1,529ee16bdc6a410db1bbbcd8f42c4551,1109,0,4,042,0,042457,4
0.07676783902570605,0.07364525087177753,193,187,187,0,1,ae2ea0acae1d4a7580df025559f79d1d,1109,0,4,042,1,042457,4
0.07722001918591559,0.07390866102650762,193,187,187,0,1,f14872fe098743b495981d10aca7cf3f,1109,0,4,042,2,042457,4
0.07767752790823579,0.07440548203885555,193,187,187,0,1,a39123da4f174524817b26c49e89bf25,1109,0,4,042,3,042457,4
0.07876696204766631,0.07307858904823661,193,189,189,0,1,42d123702d1447c58261ac2becc66300,1109,0,4,042,4,042457,4
0.08161287591792643,0.07671537506394088,193,187,187,0,1,da6fb0962eff4b4888ddb80e6a2b2de2,1109,0,4,042,5,042457,4
0.0776134948246181,0.07444429793395102,193,187,187,0,1,0cf5424070e540a78667b3bd1dfbd1d5,1109,0,4,042,6,042457,4
0.07725784392096102,0.07430007308721542,193,187,187,0,1,775ccbbd67a7488fb0a40bfd693e9e20,1109,0,4,042,7,042457,4
0.07945455214940012,0.07626633113250136,193,187,187,0,1,b8795e3ca1864af6bf187b60441482a2,1109,0,4,042,8,042457,4
0.07899405201897025,0.07617701799608767,193,187,187,0,1,31fdf31d78734111942c3440612a201c,1109,0,4,042,9,042457,4
0.0775182950310409,0.07442514598369598,193,189,189,0,1,3a1daaf7c65a42d09fa7969852b311dc,1109,0,5,0424,0,042457,5
0.07603780110366642,0.07289522793143988,193,189,189,0,1,fa76f1d862a5454fbf2343a41ceacd0a,1109,0,5,0424,1,042457,5
0.07649511680938303,0.07340680086053908,193,189,189,0,1,4ed2771026b4446bade3f52528b72570,1109,0,5,0424,2,042457,5
0.07822778890840709,0.07416948000900447,193,189,189,0,1,2709787fed57404e9cd621cf3f78be99,1109,0,5,0424,3,042457,5
0.07700718496926129,0.07400032505393028,193,189,189,0,1,c3de37ebec914e62b070f06244550051,1109,0,5,0424,4,042457,5
0.07566768489778042,0.07280245888978243,193,191,191,0,1,a1751d91344a44c2b50944a2636c2c05,1109,0,5,0424,5,042457,5
0.07701315288431942,0.07383715617470443,193,189,189,0,1,23afb7c6fd7744cabb34742d33677937,1109,0,5,0424,6,042457,5
0.07628204300999641,0.07297679618932307,193,189,189,0,1,d24c9a1722834a819495b39615856a4b,1109,0,5,0424,7,042457,5
0.07761091901920736,0.07421986386179924,193,189,189,0,1,f02558e9716b416aa146ec77bf560a4e,1109,0,5,0424,8,042457,5
0.07626053900457919,0.07281844317913055,193,189,189,0,1,1f56ea38f30145a88c0725dc2f089ccd,1109,0,5,0424,9,042457,5
0.07686555199325085,0.07359925098717213,193,191,191,0,1,0d21eaec7c3b4653bf4101fdb5c467f1,1109,0,6,04245,0,042457,7
0.07745270989835262,0.07401384599506855,193,191,191,0,1,8ffaf6dac8d54e08a6dc209aab35589b,1109,0,6,04245,1,042457,7
0.07784340111538768,0.07444383390247822,193,191,191,0,1,ff6c71772fa34782acfa67cbf874df2e,1109,0,6,04245,2,042457,7
0.07797932182438672,0.07477527717128396,193,191,191,0,1,43c095f40e314ae5bf90aad71e7d3604,1109,0,6,04245,3,042457,7
0.0770998909138143,0.07393584516830742,193,191,191,0,1,181d9ced5cff48a4ac44efb9dc81fb9f,1109,0,6,04245,4,042457,7
0.07793624978512526,0.07451436296105385,193,191,191,0,1,44a509161b3544e38f7b297f03648080,1109,0,6,04245,5,042457,7
0.07810551510192454,0.07468884414993227,193,191,191,0,1,6e04fad7bd904be0bc088dc83ec79d17,1109,0,6,04245,6,042457,7
0.07992497202940285,0.07648158096708357,193,192,192,0,1,4bf1a03a2b9542eb9709f52094b6a759,1109,0,6,04245,7,042457,7
0.07762296707369387,0.07428168808110058,193,191,191,0,1,32740525f03348f6adcbdffe54253441,1109,0,6,04245,8,042457,7
